"nid","post","field_theme_tid","theme_name"
2390134,"Israel & the State of Palestine CAAC Bulletin – Fourth quarter of 2016: Children Affected by Armed Conflict Since 2007, a UNICEF-led working group has consolidated efforts to report on the impact of armed conflict on children in Israel and the State of Palestine. The bulletin is published on a quarterly basis highlighting trends and patterns in grave violations against children. 

Members of the working group include: B’Tselem, DCI-Palestine, OCHA, OHCHR, Palestinian Centre for Human Rights, Terre Des Homme – Suisse, Save the Children, UNESCO, UNICEF, UNRWA, UNMAS, War Child Holland, WHO and World Vision. 

This edition covers October, November and December 2016. 

**Update as of September 2017:** The Principals of Working Group member organizations met in August 2017 and reaffirmed their commitment to continue to generate accurate and reliable data on the situation of children affected by the conflict In Israel and the State of Palestine and to put this data in the public domain for advocacy purposes and to improve the situation of children. They will continue to work to improve the content and format of the CAAC bulletins and implement specific actions to that end. They also agreed to move forward with a similar but distinct ‘bulletin approach’ on other non-conflict related child rights issues of concern in an effort to ensure a more comprehensive approach to the child rights agenda. They reaffirmed the need for engagement with all concerned parties. UNICEF, as the chair of the Working Group, is also in the process of reaching out to other human rights organizations who may be able to provide additional data on grave child rights violations and, where relevant, will propose their inclusion in the Working Group.

**MAJOR TRENDS & VIOLATIONS**

The situation in the West Bank, including East Jerusalem, and the Gaza Strip remained tense in the fourth quarter of 2016. A total of 1,305 incidents were documented in the reporting period, affecting 10,831 children. This marks a sharp increase from the preceding quarter when 746 incidents affecting 3,291 children were reported. This is mainly due to a significant rise in the number of children affected by education-related incidents following the restart of the school year: 8,993 children compared to 1,693 in the third quarter, with 103 education-related incidents registered in the last quarter of 2016, compared to 25 in the third quarter.

The number of children killed as well as the number of those injured in the reporting period were both lower than they had been in each of the preceding quarters in 2016. During the fourth quarter, four Palestinian boys were killed, and 81 Palestinian children were injured (5 girls and 76 boys); no Israeli children were killed and four Israeli children (4 boys) were injured. During the third quarter, six Palestinian boys had been killed and 190 children (187 Palestinian and 3 Israeli) injured.  

Additionally, one health related incident was documented in the West Bank. Nine-hundred and eighteen (918) cases of denial and delayed access to health were documented in the Gaza Strip following the application of stricter criteria by Israeli authorities, compared to five-hundred and thirty four (534) cases in the third quarter. Restrictions of access imposed by the Egyptian authorities remain ongoing.  

Available data indicates that the number of Palestinian children held in detention on security grounds remained high and continued to include cases of administrative detention.",4592,"Education"
2390024,"North-East Nigeria: Humanitarian Situation Update, November 2017 **Operational Overview**

The humanitarian crisis in north-east Nigeria remains severe due to ongoing conflict, continued internal displacement and the unpredictable return of refugees from neighbouring countries. New population movements continued to be recorded in November, with 1,862 new arrivals in Gwoza, followed by 729 in Askira/Uba, 428 in Mafa, 373 in Ngala and 358 in Madagali; Jere and Chibok recorded relatively high numbers of departures. Additionally, recent important and unexpected arrivals of population (over 13,000 persons) were recorded in Nganzai, Konduga and Magumeri where there is very limited partner presence due to insecurity and lack of access. Humanitarian agencies mobilised to address to the most urgent needs, in particular through the rapid response mechanism (RRM), filling the most pressing gaps until sectors can plan and deliver a comprehensive response.  

While food security has improved throughout the north-east in 2017 as a result of a massive scale-up of humanitarian food and livelihoods assistance, the situation remains extremely fragile with many households, particularly in Borno State, mainly dependent on humanitarian assistance to meet their basic food and livelihood needs. Many remain forced to resort to negative coping strategies to access food. The most recent Cadre Harmonisé analysis (finalised in November) projects that, without adequate and timely humanitarian assistance, 3.7 million individuals will be facing critical levels of food insecurity during the 2018 lean season (June through September). The figure does not include four Borno State local government areas (LGAs) where data could not be collected due to access constraints (in Abadam, Guzamala and Marte) or lack of partner capacity (in Kala/Balge).  

In addition to food insecurity, issues of protection continue to cause extremely serious concern throughout the north-east, including person-borne explosive device attacks in or near IDP camps, and sexual exploitation and abuse (SEA) of internally displaced persons (IDPs) by those supposed to protect them, as was reported in Bama (Borno State). In addition, on 1 November, four pupils in a primary school in Kwaya Kusar, Borno State, were gruesomely attacked. Two of them died and the other two were severely wounded. This direct attack against an educational institution, the first one in two years, may impact school attendance as parents may fear for their children’s lives. In addition, following the resurgence of attacks by non-state armed groups in some parts of Adamawa State, 12 primary schools have been closed, affecting education continuity for the children enrolled in those schools.  

The dry season has also allowed the work on ‘deep field’ humanitarian hubs to accelerate and, to date, five out of the nine planned hubs are complete (Maiduguri, Ngala, Dikwa, Bama and Gwoza). Another four (Monguno, Damasak, Banki and Rann) are expected to be fully operational by early 2018. As these hubs offer secure accommodation and Internet connectivity for aid workers, they are instrumental in supporting effective last-mile aid delivery and enhancing local coordination.  

With close to 70 per cent (US$731 million out of $1.05 billion) of the 2017 Humanitarian Response Plan (HRP) funding requirements received before year-end, the humanitarian response in Nigeria is one of the world’s best funded. Thanks to the generous support of donors, many sectors have been able to meet their targets on key life-saving activities. However, a critical gap remained throughout the year in the funding of the Response and Recovery Planning sector. This has hampered the humanitarian agencies’ ability to deliver comprehensive livelihood support to affected people, has slowed down debris removal activities in major towns, and overall limited early recovery work across north-east Nigeria.  

As the year draws to a close, sectors and humanitarian organisations continued to carry out various programme-based and areabased needs assessments which are contributing to drafting the 2018 Humanitarian Needs Overview and Humanitarian Response Plan, to be finalised respectively by mid-December and early January.",4592,"Education"
2389984,"Camp Profile - Ein Issa Extension: Ar-Raqqa governorate, Syria, November 2017 **Summary**

This profile provides a multisectoral needs overview and summarises the infrastructure and services present in Ein Issa extension camp. Primary data was collected on 28 November 2017 through 104 randomly sampled household interviews, allowing for representative findings with a 95% confidence level and 10% margin of error. Additional information was provided by interviews with camp management and direct field observation.",4592,"Education"
2389974,"Orphaned Rohingya children forced to grow up too fast *In Bangladesh, thousands of teenaged refugees are now caring for their younger siblings and relatives after losing their families in Myanmar violence.*

By Mohammed Abu Asaker in Cox’s Bazar, Bangladesh  |  22 December 2017

**At just 18, Rabiaa is newly orphaned and a “mother” of two.**

Her parents died when their village in Myanmar’s Buthidaung township was razed a few months ago. In the chaos, she was separated from her four siblings and found her two nieces, aged four and nine, in distress on the side of the road. They sought refuge in a local village for a month before crossing to Bangladesh.

“It was a tough journey,” said Rabiaa, recalling the 25-day walk with nothing but the clothes on their backs. “My nieces were crying the whole time, missing their parents and little brothers.”

They arrived at a transit centre run by UNHCR, a first stop for new arrivals in Bangladesh, and were given hot meals, clean water and new clothes. A week later, they moved to Kutupalong camp where they now live beside their former neighbour from Myanmar.

“Since we all lost our parents, I am now playing the role of a mother and they are like my little children,” said Rabiaa of the two girls. “I will take care of them for the rest of my life, even if it means that I don’t get married. I want to see them well-educated.”

Rabiaa’s predicament is sadly far too common in the refugee camps and settlements of Cox’s Bazar, where some 650,000 refugees have arrived after fleeing violence that erupted in Myanmar in late August.

The UN Refugee Agency believes that children make up 55 percent of the total refugee population. Thousands have fled without the protection of their family or community and become caregivers to younger siblings or other children overnight. According to the current family counting exercise, some 5,600 families are headed by children under 18 years of age.

Jainab Bibi, 14, is still mourning her mother’s death during the journey to Bangladesh two months ago. “We covered her body with a blanket and left,” she said, crying. “I miss her very much.”

As well as coping with that loss, she also has to care for her eight-year-old brother. Fortunately, they are now living with a former neighbour who was a good friend of their mother’s.

“We never think of children as lonely. But here, I met some of the loneliest children who now have to adopt an adult role taking care of their own siblings,” said Louise Aubin, UNHCR’s senior emergency coordinator in Cox’s Bazar.

UNHCR and partner organizations are identifying families headed by children, as well as children who are alone or unaccompanied, for individual follow-up to assess their situation.

UNHCR and others involved in child protection are setting up sustainable foster care arrangements within the refugee communities to ensure that these refugee children are safe and properly supported. More child-friendly spaces and education facilities are being established to help ease the pressures on children forced into adult roles.

These roles can be hard to shake off. Aisha has been playing “mum” since she was seven years old. Her parents died of tuberculosis in Myanmar 10 years ago, leaving her to care for three younger siblings. They fled to Bangladesh in October, where Aisha takes care of the shelter while her two brothers and a sister look for work, collect firewood or attend the madrassa, or Islamic school.

See also: [100 days of hope and horror: a timeline of the Rohingya crisis](http://www.unhcr.org/news/stories/2017/12/5a1c313a4/100-days-horror-hope-timeline-rohingya-crisis.html)

She frets that she cannot give them everything they need, and still imagines a life in which her parents are still alive – a life where she could marry and worry less about the little ones’ future.

But the daydream wears off as she remembers her responsibilities: “I want to make sure they are well educated. If they get high marks, I will feel like I raised them well.”

Arefullah, 18, is also doing his best to provide for his 16-year-old sister Mahbouba. They lost touch with their parents and four brothers during the violence back home, and do not know if they are alive or dead.

While Arefullah keeps checking in with community leaders on their whereabouts, he is moving ahead with his new life in Bangladesh. The teenager has opened a barber stall in Kutupalong camp: “I get four to five customers a day, making about 160 taka (US$2). It’s enough to buy food for my sister and me.”

Your support is urgently needed to help the children, women and men refugees in Bangladesh. Please [give now.](https://donate.unhcr.org/int-en/rohingya/chf#_ga=2.253433870.665537845.1513870502-2031266817.1507903280)",4592,"Education"
2389604,"DTM South Sudan: Pulchuol, Jonglei State Intentions Survey and Multi-Sectorial Needs Assessment | December 2017 **INTRODUCTION**

IOM’s DTM and NFI teams carried out an intenons survey and multi-sectoral needs assessment from 25 October to 1 November 2017 in Pulchuol, Jonglei State.

**CONTEXT**

Pulchuol is a payam located in the center of the Uror County (Jonglei State). Uror borders with Motoot in the Northeast, Pathai in the West, and Karam and Pieri in the East. Pulchuol Payam includes the four bomas Duol, Rupliah, Patuak and Nyakhor, which were assessed during this DTM exercise.

Between the end of March and early April of this year, conflict took place in Yuai, displacing its population which moved towards Pulchuol. As conflict also took place in Waat, people avoided that area and stayed in Pulchuol or moved to other locations, such as Akobo and east of Waat.",4592,"Education"
2389589,"DTM South Sudan: Pathai Payam, Intentions Survey and Multi-Sectorial Needs Assessment | December 2017 **INTRODUCTION**

IOM and Polish Humanitarian Action (PAH – present for NFI assessment) reached Pathai on 25 October. The team was welcomed by the Relief Organization For South Sudan (ROSS) and met with the Acting Executive Director in the absence of the Deputy Commissioner. The assessment dates were 26 October in Pathai Centre, 27 October in Turgay, 28 October in Modit and 30 October in Pabuong.  

**CONTEXT**

Pathai is a payam in Urur County of Jonglei State. It is about 120 minutes’ flight by helicopter from Bor. The host population is estimated at 14,796. The area also hosts more than 6,390 IDPs that fled conflict and hunger in Ayod,  

Pajul, Chuil, Uleng, and some locations in and around Waat of the former Greater Jonglei State and most IDPs arrived in the area between January and June 2017 bringing the total populaঞon to 21,186 individuals. There have been no reported cases of new arrival of IDPs in Pathai Payam since June. Apart from small scale fishing and farming, pastoralism is the most commonly pracঞced livelihood amongst the small population. The situation of the most vulnerable people including IDPs is precarious, with most surviving on sharing food with the host community, lile fish from nearby swamps and food distribuঞons from WFP around July 2017.  

Health and education faciliঞes are lacking. Only few pupils aend school, with some children being involved in cale herding, whilst others have joined armed groups. Most of the populaঞon including IDPs fetch drinking water from boreholes and contaminated water sources including stagnant ponds. Poor sanitaঞon is further exacerbated by the lack of latrines and the populaঞon pracঞcing open defecaঞon. In Pathai Centre there is a mobile clinic operated by MSF which is accessible for the community four ঞmes a month. The clinic also covers the nearest bomas including Modit, Pabuong, Turgay and Pulchuol. In the absence of other health faciliঞes in Pathai people with healthcare needs are reported to use local herbs in consultaঞon with local healers.  

According to the County Acting Commissioner, the front line between Pathai and Waat is about 12 hours’ walk from Pathai. Instances of inter-clan conflicts, cale rustling and revenge killings are reported as security concerns in the region.",4592,"Education"
2389569,"Serbia: Inter-Agency Operational Update (November 2017) **KEY INDICATORS**

549 Registered intentions to seek asylum in Serbia

32% of registered refugees and migrants were minors

15 Applications for asylum

0 Persons granted refugee status

0 Persons granted subsidiary protection

- The number of new arrivals decreased: 643 were encountered and assisted in November (as compared to 1,017 in October). 55% were adult men, 12% adult women and 33% children, incl. 68 unaccompanied or separated children. 27% came from Pakistan, 24% from Iraq, 23% from Afghanistan, 11% from Iran, 3% from Syria and 12% from other countries. 49% arrived to Serbia from Bulgaria, 40% from the former Yugoslav Republic of Macedonia, and 11% from other countries.

- The number of departures and testimonies of collective expulsions remained stable - 929 in November (as compared to 1,064 in October) - of which 366 from Croatia, 319 from Romania and 244 from Hungary, with many alleging to have been denied due access to asylum procedures and some to have been maltreated.

- Authorities continued ensuring that over 81% of school age refugee/migrant children attended primary and an increasing number secondary formal education in Serbia.

- In another tragic accident, on 21 November right on the border between Croatia and Serbia, a five years old girl from Afghanistan was hit by a passing train and killed on the spot. The little girl had entered Croatia irregularly with her mother and six siblings and the accident happened as they were reportedly expelled back from Croatia into Serbia. Serbian authorities and humanitarian partners have been supporting the family during these difficult times.

- In coordination with the Serbian Commissariat for Refugees and Migration (SCRM), UNHCR, DRC and NGO partners undertook comprehensive distribution of winter NFIs for all the adults accommodated in official accommodation centres.

- UNHCR Serbia published the November 2017 monthly Snapshot, outlining the key trends and statistics relating to Serbia situation as at endNovember.",4592,"Education"
2389534,"Germany Contributes EUR 23.15 Million to UNRWA for Projects in Gaza 22 December 2017

On 8 and 13 December 2017, the United Nations Relief and Works Agency for Palestine Refugees (UNRWA) signed two agreements with the German Development Bank (KfW) totaling EUR 23.15 million from the German Ministry for Economic Cooperation and Development (BMZ).

As part of the overall contribution, EUR 18.15 million will be allocated to the UNRWA reconstruction programme in Gaza, allowing the safe and dignified return of some 540 Palestine refugee families to their houses that were completely destroyed during the hostilities in the summer of 2014. Reaffirming Germany’s strong commitment to support Palestinian refugees in Gaza, this grant builds on earlier contributions in the amount of EUR 57 Million by the German Federal Government towards the UNRWA emergency shelter and reconstruction programme since 2014.

An additional EUR 5 million will be used for the construction and expansion of two UNRWA schools in the Gaza Strip which will benefit around 6,000 students. Two schools will be constructed using the completely renewed, innovative, child-friendly UNRWA school design and will significantly enhance education for thousands of children over the coming years. In total, UNRWA operates 267 schools in Gaza, providing primary education to a steadily increasing student population of now over 262,000 refugee children.

The German Representative in Ramallah, Mr. Peter Beerwerth, welcomed the additional funding: “With this substantial contribution to the UNRWA reconstruction programme in Gaza, Germany is continuing its support to Palestine refugees. 540 families will be able to rebuild their completely destroyed houses.

As education is of utmost importance to Germany, we are contributing an additional EUR 5 million to UNRWA schools in Gaza. With this German support, thousands of students will profit from an enhanced and safer learning environment,” he added.

“We highly value this generous contribution and the commitment of the Federal Republic of Germany to support the Palestine refugees in the Gaza Strip and the work of UNRWA work which will bring the response to reconstruction needs resulting from the massive destruction caused in 2014 a significant step towards completion. We are also very much appreciate the support from the BMZ and the KfW to build schools that will enable us to continue to provide quality education for Palestine refugees’ children in Gaza,” stated Mr. Matthias Schmale, Director of UNRWA Operations in Gaza.

These additional contributions further extend the significant support that the German Federal Government is rendering towards Palestine refugees in Gaza. Germany continues to support UNRWA in the fields of humanitarian assistance, employment creation, infrastructure, reconstruction and rehabilitation. The new contributions are implemented through the state-owned development bank KfW.

In 2016, Germany was the Agency’s fourth largest donor, having contributed EUR 67,534,343 (USD 73,627,810) to UNRWA. Germany has been a member of the UNRWA Advisory Commission since 2005.

**BACKGROUND INFORMATION**  
UNRWA is confronted with an increased demand for services resulting from a growth in the number of registered Palestine refugees, the extent of their vulnerability and their deepening poverty. UNRWA is funded almost entirely by voluntary contributions and financial support has been outpaced by the growth in needs. As a result, the UNRWA Programme Budget, which supports the delivery of core essential services, operates with a large shortfall. UNRWA encourages all Member States to work collectively to exert all possible efforts to fully fund the Agency’s Programme Budget. UNRWA emergency programmes and key projects, also operating with large shortfalls, are funded through separate funding portals.

UNRWA is a United Nations agency established by the General Assembly in 1949 and mandated to provide assistance and protection to some 5 million registered Palestine refugees. Its mission is to help Palestine refugees in Jordan, Lebanon, Syria, West Bank and the Gaza Strip achieve their full human development potential, pending a just and lasting solution to their plight. UNRWA services encompass education, health care, relief and social services, camp infrastructure and improvement, protection and microfinance.",4592,"Education"
2389459,"Camp Profile - Areesheh Al-Hasakeh governorate, Syria November 2017 **Summary**

This profile provides a multisectoral needs overview and summarises the infrastructure and services present in Areesheh Camp. Primary data was collected between 3 and 4 December 2017 through 109 randomly sampled household interviews, allowing for representative findings with a 95% confidence level and 10% margin of error. Additional information was provided by interviews with camp management and direct field observation.

**Camp Overview**

/ # of individuals: 20,0001   
/ # of shelters: 3,000   
First arrivals: June 2017   
Avg. residency duration: 10 weeks  
Camp area: 0.66 km  

The camp hosts Syrian Internally Displaced Persons (IDPs) only, the majority of whom are from Deir-ezZor governorate (99%) with Mayadin (42%) and Deir-ez-Zor (27%) the most common subdistricts of origin.  

The camp is divided into a regular grid layout, with some residents living beyond the camp to the North.",4592,"Education"
2389429,"Tambura Displacement Brief: Tambura County, Western Equatoria State, South Sudan, November 2017 **Background**

Following reports of returnee influx from the Central African Republic (CAR) to bordering areas in Western Equatoria State, REACH deployed as part of a multi-agency assessment to Tambura town, the border town of Source Yubu and surrounding areas to understand displacement patterns and access to services for newly arrived internally displaced person (IDP) and local communities. Tambura town was assessed on 8 November and Source Yubu was assessed on 9 November. REACH conducted five focus group discussions (FGDs) with newly arrived IDPs and members of the local community and two key informant interviews with Relief Rehabilitation Commission (RRC) officials. Eight settlements were furthermore assessed remotely through Key Informant (KI) interviews.

**Population Movement and Displacement**

The population of Tambura County has reportedly rapidly increased since the beginning of the year with reported influx of returnees from CAR as well as IDPs from neighbouring counties.

**Returns from CAR**

Since June 2017, high numbers of South Sudanese refugees started to come back from Obo Camp in southeastern CAR. The RRC recorded 6,212 returnees (1,517 households (HHs)) in Source Yubu and 16,699 IDPs/returnees (8,360 HHs) in Tambura,2 though no humanitarian organizations have been able to verify these numbers.  

The main challenge along the traveling route reported by the returning population was hunger. While able-bodied individuals reportedly took between 5 to 9 days to travel from Obo Camp to Source Yubu and another 3 to 5 days to reach Tambura town, those traveling with young children took much longer, often several weeks.  

FGD participants reported that the returns were primarily motivated by a lack of food inside the camp, where food distributions stopped around June due to insecurity along the supply route.3 Refugees in Obo Camp were reportedly not allowed to access land for cultivation and were therefore completely dependent on food assistance. Another reported reason for return was the fear of conflict, which is currently affecting CAR.

FGD participants reported that Obo Camp mainly hosted refugees from Source Yubu, which fled South Sudan following conflict which began in 2015. The most recent clashes in Source Yubu took place around November 2016 when most of the population was displaced to Bambouti, a town located approximately 5 km west of the border inside of CAR, from where they were transferred to Obo Camp earlier in the year. Other refugees in Obo Camp were reportedly from Ezo,  
Tambura and Nagero Counties, suggesting that small numbers of refugees might also be returning to those areas.

The vast majority of the returnees are originally from Source Yubu.  
Some of the returnees were able to settle again in their former communities in Source Yubu. A substantial proportion, however, reportedly found their houses destroyed or occupied by armed actors upon return and decided to move on towards Tambura town.  
Returnees/IDPs are scattered in and around Tambura town where they have settled with the local communities.

**Displacement from Bazia Road, Wau County**

Between February and April 2017, heavy clashes displaced populations living along the Bazia road in Western Bahr el Ghazal towards Jur River County and Farajallah village, Wau County. A smaller number reportedly fled south to Nagero and Tambura Counties. According to recent reports, 700 IDPs have settled in Nagero town,5 while the RRC in Tambura town recorded another 300 HHs which reportedly arrived between February and May 2017.

**Displacement from Nadiangare village, Yambio County**

According to the RRC in Tambura town, approximately, 1,980 IDPs (325 HHs) have reportedly arrived between December 2016 and February 2017 from Nadiangare Village in Yambio County. Most of these IDPs have reportedly settled 10 km outside of Tambura town in Seneguse settlement (Mupoi Payam), after initial displacement from Nadiangare village due to heavy clashes.

**Displacement from Ezo town, Ezo County**

Frequent clashes between 2015 and 2017 displaced people from Ezo town and outskirts towards Tambura town and surroundings, while others fled across the border to refugee camps in the Democratic Republic of Congo (DRC). There are no official estimate numbers of IDPs from Ezo. However, FGD participants estimated around 2,000-3,000 individuals, some of whom have reportedly returned to Ezo town and surroundings.

**Refugees from Central African Republic**

Reports shared by the Refugee Commission Affairs of 119 newly arrived refugees (22 HHs) from CAR could not be confirmed during the mission to Tambura. The RRC had reportedly no information about recent arrivals and the United Nations High Commissioner for Refugees (UNHCR) could only verify nine newly arrived refugees from CAR. UNHCR had registered 812 refugees (250 HHs) that had fled intensive conflict between 2009 and 2012. Those refugees have settled within the Tambura community and were therefore reportedly not interested in relocation to refugee camps.",4592,"Education"
2389334,"UNMISS Quick Impact Project helps boost education The gifting of two new classrooms and an office by the United Nations Mission in South Sudan to a secondary school in Gogrial will help boost educational opportunities for children in the area.

The Quick Impact Project at the Karic Secondary School in Kuac, carried out by UNMISS in partnership with the Food and Agriculture Development Agency (FADA), involved construction of the classrooms as well as the gifting of 75 desks and chairs.

Following the handover, the State Minister of Education, Science and Technology, Malek Madut Makom,  said it was a big achievement to have a secondary school in the area.

“This facility will help our children to continue learning after completing primary school,” he said. “Students used to travel to Wau or Kuajok for their secondary education but with the help of UNMISS, our students will no longer be going far for their secondary school education.” 

The Minister thanked UNMISS and FADA for their contribution and encouraged communities to take their children to school and to maintain the school facility.

UNMISS acting Head of Field Office in Kuajok, Abimbola Aina, urged the local community to embrace peace and enable children to go to school without fear.

“The future of South Sudan is in the development of the children. Send them to school,” said Abimbola Aina.

The project will benefit approximately 450 students from the Kuac South County and neighbouring communities in Bomas and Payams.",4592,"Education"
2389319,"Assessment of the economic impact of investment in disaster risk reduction and prevention: The case of Tabasco This study assesses the role of the investments made in disaster risk reduction (DRR) and prevention in the actual reduction of the impact of floods in the state of Tabasco between 2007 and 2010. Based on a previous study conducted within the framework of the Technical Assistance Agreement between the Mexican Government and the World Bank, it was found that the intense rainfall events occurring in Tabasco in 2007 and 2010 were similar in terms of their hydrometeorological characteristics (rainfall) and spatial distribution (rainfall fields). When analyzing the accumulated rainfall recorded for both events, it was found that the magnitude of the 2010 floods was greater than that of the 2007 floods.

However, damages and losses estimations recorded by the National Center for Disaster Prevention (CENAPRED) show an 80 percent reduction in 2010, compared to 2007 (World Bank, 2014). The similarity between these two events provides an ideal “natural experiment” scenario to evaluate the benefits of the investments in DRR made between 2008 and 2010.

Motivated by the devastating floods that occurred in October 2007, the Mexican Federal Government, together with the Government of the State of Tabasco, designed the Comprehensive Water Plan of Tabasco (PHIT, Plan Hídrico Integral de Tabasco) and began its implementation. The aim of the PHIT was to come up with a set of solutions that guaranteed the population’s safety, as well as the performance and continuity of economic activities and the balance of ecosystems in the occurrence of floods. The PHIT provides for the implementation of structural measures (physical investments, such as embankments and reinforcements) and non-structural measures (non-engineering measures, such as workshops, trainings, development of early warning systems and drawing of risk maps, among others).

The aim of this analysis is to assess the impact caused by the floods and the investments in DRR on the socioeconomic wellbeing of the population of Tabasco. For that purpose, estimations were made of the impact on the school dropout rate for Basic Education students (primary and secondary levels), and of the effect onthe economic activity of the state (measured through changes in the intensity of nighttime lights [or NTL]). On the one hand, the results show that the fluvial flooding level (GLOFRIS) indeed has a negative effect on the level of school dropout and on the changes in NTL. On the other hand, no robust results were found for the effect of the investments in DRR, even after correctinga possible bias resulting from their location. conclusion, the results obtained in this studyreinforce those found in the previous one (World Bank, 2014): the impact of the 2007 floods was greater than that of the 2010 floods, even though the latter year was characterized by rainfall events of a greater magnitude.",4592,"Education"
2389234,"Chad: Socioeconomic profiling of Sudanese, Central African et Nigerian refugees **1- Background and rationale**

Chad has been welcoming Sudanese refugees fleeing violence in the Darfur region for more than 10 years. Security and political conditions are still not conducive to a return to their home country.  
At the same time, overall insecurity prevails in Central African Republic impeding the repatriation of thousands of C.A.R. refugees and returnees living in Southern Chad. The prolonged presence of refugees in Chad and the continuous reduction in available funding for food and non-food assistance, have led the humanitarian community to reconsider the type of interventions in place. Between 2014 and 2015, WFP and UNHCR conducted a socio-economic categorization in refugee camps in Southern and South-eastern parts of the country with the strong involvement of CNARR (Government agency for refugees and returnees). Based on lessons learned from that approach, the 2016 Joint Assessment Mission (JAM) recommended an update in 2017. The current exercise was designed to go beyond a simple categorization and thus identify refugee household that can be empowered in the short to medium term as well as factors that can enable self-reliance. The results of profiling should be used to develop a new strategic needs-based approach. During the exercise, the technical teams decided to include in the analysis Nigerian and Central Africans refugees who arrived more recently but who may eventually face the same difficulties. 

**2- Key figures**

- Initial data collection was conducted between 17 June and 15 July 2017. An additional round for Central African refugees installed in host villages in southern Chad was organized from 25 July to 4 August 2017.

- 544 officers including 435 interviewers ensured data collection; supervision and data quality check was provided by the staff of CNARR, UNHCR and WFP;.

- 19 camps and 9 host villages were visited by data collection teams.

- 87,725 households were interviewed using the socio-economic questionnaire.

- 18 checklists were filled with programme officers, cooperating partners, local authorities and managers of basic services in camps.

- 30 focus groups (30 more to be received) were prepared with refugee leaders and representatives of women and youth.

- Individual information was collected from 356 684 persons.

- Data collection was done using smartphones (no trees were felled to support this operation).",4592,"Education"
2389174,"World Vision Kenya: Hunger Response Situation Report No. 13 (1-30 November 2017) **KEY MESSAGES**

• Drought conditions remain critical: Due to drought, water stress is acute, milk production and livestock prices are well below normal, and livestock mortality is rising in the following counties: Garissa, Isiolo, Kajiado, Kilifi, Laisamis, Narok, Samburu (East),  Tana River, and Wajir (South and West).

• Other drought-affected areas are no longer in crisis: In some other Arid and Semi-arid lands (ASAL) areas, particularly in the northwest and in parts of the coast, conditions have returned to normal following significant off-season rainfall in recent months. However, in all ASAL counties, staple food prices remain well above normal, at a time when market dependence is high in the wake of successive poor seasons.

• Acute malnutrition: World Vision continues to respond to child malnutrition, with more than 420,000 children and nearly 37,000 pregnant and lactating women requiring treatment for acute malnutrition across the country.  Many areas continue to have Global Acute Malnutrition (GAM) rates over the emergency threshold of 15 per cent.

• Presidential election: The country’s security situation has returned to normal after a volatile few months. Violence spiked in November in many informal settlements in Nairobi and Kisumu following the repeat presidential election held on the 26th October 2017, which was boycotted by the main opposition party.

• Access to health care services: After 150 days, the nurses’ national strike which begun in June was called off by the nurses’ union in November 2017. Nurses were ordered to resume their duties and restore health services across the country.  The strike negatively affected maternal and child health along with,  HIV and nutrition services.

• Scaling up response: In relation to the drought response interventions, the World Vision Kenya Flash Appeal has a funding gap of US $19.1M. Without additional funding,  World Vision Kenya will be unable to optimally support the drought emergency response, and mitigate the risks of a worsening situation for children.",4592,"Education"
